file,total_lines,internal_lines,external_lines,internal_ratio
app/src/main/assets/webview/markdown.css,587,587,0,1.000000
app/src/main/assets/webview/colors_dark.css,156,156,0,1.000000
app/src/main/assets/webview/colors_light.css,156,156,0,1.000000
app/src/main/java/org/lsposed/manager/util/UpdateUtil.java,149,149,0,1.000000
dex2oat/src/main/cpp/dex2oat.c,125,125,0,1.000000
app/src/main/assets/webview/syntax.css,124,124,0,1.000000
app/src/main/assets/webview/syntax_dark.css,124,124,0,1.000000
core/src/main/java/org/lsposed/lspd/util/ClassPathURLStreamHandler.java,120,120,0,1.000000
app/src/main/res/values-tr/strings.xml,90,90,0,1.000000
app/src/main/java/org/lsposed/manager/ui/widget/ScrollWebView.java,83,83,0,1.000000
app/src/main/java/org/lsposed/manager/util/CloudflareDNS.java,66,66,0,1.000000
app/src/main/java/org/lsposed/manager/receivers/LSPManagerServiceHolder.java,61,61,0,1.000000
app/src/main/java/org/lsposed/manager/util/NoSniFactory.java,59,59,0,1.000000
hiddenapi/stubs/src/main/java/sun/misc/CompoundEnumeration.java,34,34,0,1.000000
magisk-loader/src/main/jni/CMakeLists.txt,32,32,0,1.000000
core/src/main/java/org/apache/commons/lang3/reflect/MemberUtilsX.java,31,31,0,1.000000
daemon/src/main/java/org/lsposed/lspd/util/InstallerVerifier.java,31,31,0,1.000000
app/src/main/res/drawable/ic_outline_speaker_notes_24.xml,30,30,0,1.000000
app/src/main/res/values-v28/themes.xml,29,29,0,1.000000
app/src/main/res/values-v30/themes.xml,29,29,0,1.000000
daemon/src/main/res/drawable/ic_notification.xml,28,28,0,1.000000
daemon/proguard-rules.pro,26,26,0,1.000000
services/daemon-service/proguard-rules.pro,21,21,0,1.000000
hiddenapi/stubs/src/main/java/android/app/IUidObserver.java,17,17,0,1.000000
app/src/main/assets/webview/template_dark.html,14,14,0,1.000000
daemon/src/main/java/org/lsposed/lspd/Main.java,10,10,0,1.000000
hiddenapi/stubs/src/main/java/android/app/ActivityManager.java,9,9,0,1.000000
hiddenapi/stubs/src/main/java/android/permission/IPermissionManager.java,8,8,0,1.000000
hiddenapi/stubs/src/main/java/sun/net/www/ParseUtil.java,7,7,0,1.000000
magisk-loader/src/main/jni/template/loader.cpp,6,6,0,1.000000
hiddenapi/stubs/src/main/java/sun/net/www/protocol/jar/Handler.java,4,4,0,1.000000
magisk-loader/.gitignore,3,3,0,1.000000
dex2oat/.gitignore,2,2,0,1.000000
magisk-loader/magisk_module/sepolicy.rule,1,1,0,1.000000
services/daemon-service/.gitignore,1,1,0,1.000000
services/manager-service/.gitignore,1,1,0,1.000000
daemon/src/main/java/org/lsposed/lspd/service/Dex2OatService.java,219,216,3,0.986301
magisk-loader/src/main/jni/src/magisk_loader.h,58,57,1,0.982759
app/src/main/java/org/lsposed/manager/util/AppIconModelLoader.java,142,139,3,0.978873
core/src/main/java/org/lsposed/lspd/util/LspModuleClassLoader.java,206,201,5,0.975728
app/src/main/java/org/lsposed/manager/util/ShortcutUtil.java,173,166,7,0.959538
daemon/src/main/jni/dex2oat.cpp,119,114,5,0.957983
hiddenapi/bridge/src/main/java/hidden/ByteBufferDexClassLoader.java,20,19,1,0.950000
dex2oat/src/main/cpp/CMakeLists.txt,17,16,1,0.941176
magisk-loader/proguard-rules.pro,17,16,1,0.941176
magisk-loader/src/main/jni/src/magisk_loader.cpp,237,222,15,0.936709
app/src/main/assets/webview/template.html,14,13,1,0.928571
app/src/main/java/org/lsposed/manager/ui/dialog/FlashDialogBuilder.java,141,130,11,0.921986
daemon/src/main/jni/logcat.h,63,56,7,0.888889
dex2oat/build.gradle.kts,47,41,6,0.872340
app/src/main/java/org/lsposed/manager/ui/widget/ExpandableTextView.java,173,150,23,0.867052
services/daemon-service/build.gradle.kts,46,39,7,0.847826
app/src/main/java/org/lsposed/manager/ui/dialog/WelcomeDialog.java,98,83,15,0.846939
magisk-loader/src/main/java/org/lsposed/lspd/core/Main.java,42,35,7,0.833333
app/src/main/res/values-v29/settings.xml,23,19,4,0.826087
app/src/main/res/values/settings.xml,23,19,4,0.826087
daemon/src/main/java/org/lsposed/lspd/service/LSPNotificationManager.java,331,272,59,0.821752
dex2oat/src/main/cpp/logging.h,36,29,7,0.805556
app/src/main/res/drawable/ic_extension_checkable.xml,25,20,5,0.800000
services/daemon-service/src/main/aidl/org/lsposed/lspd/service/IRemotePreferenceCallback.aidl,5,4,1,0.800000
app/src/main/res/drawable/ic_assignment_checkable.xml,24,19,5,0.791667
app/src/main/res/drawable/ic_get_app_checkable.xml,24,19,5,0.791667
app/src/main/res/drawable/ic_home_checkable.xml,24,19,5,0.791667
app/src/main/res/drawable/ic_settings_checkable.xml,24,19,5,0.791667
app/src/main/res/values-sw600dp/integer.xml,24,19,5,0.791667
magisk-loader/build.gradle.kts,347,266,81,0.766571
app/src/main/res/layout/item_master_switch.xml,25,19,6,0.760000
app/src/main/res/values/integer.xml,25,19,6,0.760000
app/src/main/res/values-night-v31/colors.xml,24,18,6,0.750000
app/src/main/res/values-v31/colors.xml,24,18,6,0.750000
.github/workflows/core.yml,160,118,42,0.737500
daemon/build.gradle.kts,125,88,37,0.704000
gradlew,249,175,74,0.702811
app/src/main/res/drawable/ic_outline_extension_24.xml,28,19,9,0.678571
app/src/debug/java/org/lsposed/manager/util/Telemetry.java,86,57,29,0.662791
app/src/main/res/drawable/ic_baseline_chat_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_extension_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_get_app_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_home_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_info_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_search_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_settings_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_baseline_settings_backup_restore_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_android_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_format_color_fill_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_get_app_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_groups_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_home_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_invert_colors_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_language_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_merge_type_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_restore_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_settings_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_shield_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_outline_translate_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_round_bug_report_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_round_check_circle_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_round_error_outline_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_round_settings_24.xml,29,19,10,0.655172
app/src/main/res/drawable/ic_round_warning_24.xml,29,19,10,0.655172
