month,total_commits,external_commits,internal_commits,external_ratio
2014-01,1,1,0,1.000000
2019-01,46,46,0,1.000000
2019-02,64,64,0,1.000000
2019-03,92,92,0,1.000000
2019-04,32,32,0,1.000000
2019-05,24,24,0,1.000000
2019-06,39,39,0,1.000000
2019-07,5,5,0,1.000000
2019-09,2,2,0,1.000000
2019-10,7,7,0,1.000000
2019-11,2,2,0,1.000000
2019-12,6,6,0,1.000000
2020-01,30,30,0,1.000000
2020-02,37,37,0,1.000000
2020-03,48,48,0,1.000000
2020-04,29,29,0,1.000000
2020-05,8,8,0,1.000000
2020-06,6,6,0,1.000000
2020-07,11,10,1,0.909091
2020-08,11,11,0,1.000000
2020-09,3,2,1,0.666667
2020-10,1,1,0,1.000000
2020-11,82,82,0,1.000000
2020-12,124,124,0,1.000000
2021-01,188,188,0,1.000000
2021-02,273,261,12,0.956044
2021-03,161,142,19,0.881988
2021-04,58,49,9,0.844828
2021-05,156,141,15,0.903846
2021-06,55,42,13,0.763636
2021-07,26,10,16,0.384615
2021-08,147,79,68,0.537415
2021-09,106,77,29,0.726415
2021-10,90,57,33,0.633333
2021-11,71,47,24,0.661972
2021-12,26,16,10,0.615385
2022-01,48,40,8,0.833333
2022-02,87,75,12,0.862069
2022-03,30,25,5,0.833333
2022-04,49,23,26,0.469388
2022-05,17,8,9,0.470588
2022-06,12,11,1,0.916667
2022-07,7,5,2,0.714286
2022-08,4,3,1,0.750000
2022-09,12,9,3,0.750000
2022-10,16,8,8,0.500000
2022-11,17,10,7,0.588235
2022-12,49,17,32,0.346939
2023-01,96,79,17,0.822917
2023-02,23,12,11,0.521739
2023-03,22,20,2,0.909091
2023-04,15,15,0,1.000000
2023-05,7,7,0,1.000000
2023-06,7,7,0,1.000000
2023-07,28,16,12,0.571429
2023-08,28,24,4,0.857143
2023-09,6,6,0,1.000000
2023-10,23,20,3,0.869565
2023-11,1,1,0,1.000000
2023-12,7,4,3,0.571429
2024-01,2,0,2,0.000000
